space_id,current_revision,history_status_code,history_pages,commit_count_through_snapshot,first_commit_date,last_commit_date,initial_revision,initial_revision_date,initial_revision_rank,initial_tree_status_code,initial_selected_file_count,initial_dependency_signal_count,initial_state_status,current_revision_in_history,history_span_days
Abdelrahman04/egyptian-educational-chatbot-demo,c959a848ff51f36474e455baadf234831fd1f7f2,200,1,8,2025-12-16T05:40:59.000Z,2025-12-16T07:07:29.000Z,c2b9164ad99080b333e4cde109b9cdd9b201cf86,2025-12-16T05:40:59.000Z,1,200,2,1,RESOLVED,True,0.060069444444444446
AbhiReddy1/AI_datascince_Tutor,49e68b6f30a01110a29f2852e4535ff7bd1be144,200,1,10,2025-03-21T07:51:06.000Z,2025-03-21T09:54:45.000Z,57491263c95155a5f406741d9e1db642cdcedb73,2025-03-21T07:54:58.000Z,2,200,3,2,RESOLVED,True,0.08586805555555556
Abhinaychatla/language_voice_tutor,1864296c0286ee3575a6ddf362e4aaa7568f8007,200,1,8,2026-06-21T16:42:17.000Z,2026-06-21T17:08:03.000Z,89473f9740ace94e9fa06ab5561807d284e33876,2026-06-21T16:55:24.000Z,2,200,10,2,RESOLVED,True,0.017893518518518517
Achyutar/Engross-Educational-AI,12b242517239b07b2e968862ac37bfcca12e7996,200,1,2,2025-02-17T16:28:54.000Z,2025-02-17T16:28:55.000Z,570550a2576f7db4df8af8ea543b369ea912faad,2025-02-17T16:28:54.000Z,1,200,3,1,RESOLVED,True,1.1574074074074073e-05
Aditya1546/ai-study-assistant,e77f5ea413f717b4b0c2bff120cbd81e61c41382,200,1,11,2026-07-07T09:49:23.000Z,2026-07-08T10:55:32.000Z,e7e47e5b8f326abc3b71ff3451cb327f63f533cd,2026-07-07T09:49:23.000Z,1,200,3,2,RESOLVED,True,1.0459375
AdityaKokate/StudyAssistant,36597ebd9d89c0695aea6daa4c44d33680f03a50,200,1,3,2026-07-30T14:32:46.000Z,2026-07-30T14:45:02.000Z,bf7c4c4f935cb8abfad4c3a8326b02f1513f47d1,2026-07-30T14:34:11.000Z,2,200,3,2,RESOLVED,True,0.008518518518518519
Agents-MCP-Hackathon/AI-Quiz-Generator,d57400021ec3f6cbb3b53f2686075f536a96ff53,200,1,3,2025-06-07T10:28:09.000Z,2025-06-07T10:29:52.000Z,2369f7426f81c41567fc7c553f8b605a8811d9da,2025-06-07T10:29:16.000Z,2,200,2,0,RESOLVED,True,0.0011921296296296296
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,0b9fe734333e4c4228176db099be216a5d520ba5,200,1,33,2025-06-09T04:55:09.000Z,2025-08-27T15:21:35.000Z,3a7aabb588815d9de771c9ae5dccbe4377197fc9,2025-06-09T05:09:27.000Z,2,200,2,0,RESOLVED,True,79.43502314814815
Agents-MCP-Hackathon/AI_tutor,be9948b805c9256d50100efd40d9e5565ddb7e28,200,1,11,2025-06-10T04:49:07.000Z,2025-06-10T22:34:10.000Z,1d956004b44e783bd76abd2bdd43e3ef94d7f57e,2025-06-10T04:50:17.000Z,2,200,10,3,RESOLVED,True,0.7396180555555556
Akash035/my_study_assistant,cf8ce1019d02405129a26d4003b4b83ba54b77f8,200,1,2,2026-03-07T10:30:31.000Z,2026-03-07T10:33:41.000Z,cf8ce1019d02405129a26d4003b4b83ba54b77f8,2026-03-07T10:33:41.000Z,2,200,3,2,RESOLVED,True,0.002199074074074074
Aleesha29/socratic_tutor,8ee693fcac3e99f264d0bca5dcc9b3460bc8f33a,200,1,18,2026-02-20T16:27:20.000Z,2026-05-09T11:54:56.000Z,417992f5821dda08d59ab340a4db01b0dab73311,2026-02-20T16:28:13.000Z,2,200,2,1,RESOLVED,True,77.81083333333333
AneelaFatima/AI_Friendly_Study_Tutor,4f67d2d2dcacd2c1598a95fe64366c4f951f194a,200,1,27,2025-08-19T03:08:29.000Z,2025-08-21T06:05:19.000Z,271a28e2dc1dba25f02a0b03ff4e703bae9ccd3d,2025-08-19T03:12:25.000Z,4,200,2,1,RESOLVED,True,2.122800925925926
Anil3920/StudyAssistant,b49e049f1bd13d1592dc7c165789125c9a077c68,200,1,4,2026-07-31T06:08:20.000Z,2026-07-31T06:46:24.000Z,fd3b79a592d2ed321441e3de5393571627e577e1,2026-07-31T06:08:20.000Z,1,200,2,0,RESOLVED,True,0.026435185185185187
Anilkumar12/StudyAssistant,490d529a6052fffbf28bd784ec68cfce9f84ab69,200,1,4,2026-07-31T06:18:03.000Z,2026-07-31T06:30:35.000Z,8d2d4174adb41a22bfba88e5b6ca3c6a4b74dddd,2026-07-31T06:19:35.000Z,2,200,3,2,RESOLVED,True,0.008703703703703703
AnishaG0201/maths_quiz_generator,719aaf3fea1333f543537390d583ce4d15aeaacc,200,1,37,2024-05-31T08:53:43.000Z,2024-05-31T12:45:56.000Z,6ff1a5ae43861841a6081100c36ffac8bb3aaf3f,2024-05-31T09:16:51.000Z,2,200,2,0,RESOLVED,True,0.16126157407407407
Anmol2006/AI_Study_Assistant,14ba597ebdcd9dc9d77a3358348f9d30b1598f82,200,1,2,2026-02-09T11:29:20.000Z,2026-02-09T11:36:32.000Z,14ba597ebdcd9dc9d77a3358348f9d30b1598f82,2026-02-09T11:36:32.000Z,2,200,3,2,RESOLVED,True,0.005
Anupam251272/Education-Chatbot-Anupam,3f2e3d404b9be110a032a8e4b1a1c8d96cdc12ec,200,1,14,2025-01-24T11:21:59.000Z,2025-01-24T14:03:29.000Z,8ccc56337366064885d7c40f09f8786d53a8081e,2025-01-24T11:40:54.000Z,2,200,2,1,RESOLVED,True,0.11215277777777778
Apoorvahu/my-study-assistant,62e5d6528063f371eff792a8c7a93895afcbdc84,200,1,2,2026-07-04T03:33:42.000Z,2026-07-04T03:40:23.000Z,62e5d6528063f371eff792a8c7a93895afcbdc84,2026-07-04T03:40:23.000Z,2,200,3,2,RESOLVED,True,0.004641203703703704
Archimagos/ai_tutor,de74687273d2dd0b0fe90bc7699e20fd2226b3ec,200,1,4,2024-11-25T03:34:05.000Z,2024-11-25T12:55:04.000Z,05c007450d5d561f366c36779bbb98ab9b1e28b3,2024-11-25T03:34:05.000Z,1,200,2,0,RESOLVED,True,0.38957175925925924
Archimagos/ai_tutor_3.2,b4136662144530a01fe64d3ec2d6a8a15b67a480,200,1,13,2024-07-29T01:45:50.000Z,2024-11-25T19:16:52.000Z,8c029ff099689e278c0118e5f37738d9efef2d9d,2024-07-29T01:49:20.000Z,2,200,3,2,RESOLVED,True,119.72988425925926
Arko3910/Study_Assistant,262ef2f22f2c31167bb57faf2ad46dd4147515e8,200,1,22,2025-11-29T14:06:52.000Z,2025-11-29T16:06:08.000Z,5af234872fc188ad4b6709fddad0cdd9f7f7eb0d,2025-11-29T14:08:25.000Z,2,200,3,1,RESOLVED,True,0.08282407407407408
Armour-12/Quiz-generator-t5base,5ed1c85b68ddb2dbe923ca8498c749b83f1cee64,200,1,19,2026-03-11T12:41:06.000Z,2026-03-12T10:41:33.000Z,24134eb07d3d15d96e5b3705595042a2ec8ecc97,2026-03-11T12:41:34.000Z,2,200,2,1,RESOLVED,True,0.9169791666666667
Armour-12/Quiz_Generator,653fd052690ddee05525c5a244c371a3a98bf887,200,1,11,2024-02-20T04:48:51.000Z,2024-03-14T08:16:11.000Z,faa1a3c800b52fd8afb253c08b91e457b617ac32,2024-02-20T04:49:20.000Z,2,200,2,1,RESOLVED,True,23.143981481481482
Artykun/Ai-Quiz-Generator,e40da7249db66dd16515b006d5b5fe9179b4d660,200,1,65,2026-05-04T03:52:08.000Z,2026-05-11T15:20:28.000Z,12ee7a800cb6738c4b71b5e18402caf83a0cb494,2026-05-04T03:52:08.000Z,1,200,9,3,RESOLVED,True,7.4780092592592595
Ashwand5/AI_Educational_Assistant,d166555bc5cc51e04d0cba17b3cc9d2280051219,200,1,4,2025-09-03T10:24:08.000Z,2025-09-03T10:28:21.000Z,9c9434d2c91e130fcd7258756e4c1ec02efa167b,2025-09-03T10:24:08.000Z,1,200,3,0,RESOLVED,True,0.002928240740740741
Asif1karim/Study_Assistant,941d6c983e0122bc7fffc8170a2e21c360c5c6f9,200,1,107,2025-08-02T14:28:51.000Z,2025-08-04T07:58:00.000Z,6f226e99fd6c6e985cc33a9315abce260e593648,2025-08-02T17:54:09.000Z,2,200,6,2,RESOLVED,True,1.728576388888889
Axiosingular/ai-tutor,07a7531bb4c33c5f44529ea26b453b4117303d75,200,1,7,2026-07-13T14:43:44.000Z,2026-07-13T15:30:27.000Z,1abe92930301eb8a2673864e1c0ebf7845b304d4,2026-07-13T14:47:24.000Z,2,200,2,0,RESOLVED,True,0.032442129629629626
AyeshaMasood/quiz-generator,2317fdacb4fd791da0f6bcc52610f629c71a10dd,200,1,6,2025-04-15T08:02:31.000Z,2025-04-15T08:23:46.000Z,8715f3d4fb8fe054576cc91af7910c2ce9015e45,2025-04-15T08:12:15.000Z,2,200,2,0,RESOLVED,True,0.014756944444444444
BRH-Burhanudin/kimia-ai-tutor,a8c5c70d196d3ff0600045331526dbd410bb4164,200,1,27,2026-06-21T12:59:21.000Z,2026-06-24T07:56:10.000Z,d98aa21dc1fb4224e32e3421178b24dcdf5a462a,2026-06-21T12:59:21.000Z,1,200,7,5,RESOLVED,True,2.7894560185185187
BUNNY95R/AI_study_assistant,f598fc514d86c3c21a6846b9f25778fd414f9865,200,1,15,2026-08-11T16:30:48.000Z,2026-08-17T12:30:55.000Z,467b612023e95a4f8c9a7edd0938afb6fe2cd874,2026-08-11T16:44:38.000Z,2,200,3,2,RESOLVED,True,5.833414351851852
BadaPoojitha/StudyAssistant,e2b093757dddb86c87601018bc2c96fa2495e306,200,1,10,2026-07-04T16:48:36.000Z,2026-07-04T17:25:30.000Z,4d29b7bdcb720d75d61c1aa70b1a185edf7a46ec,2026-07-04T16:55:13.000Z,2,200,3,2,RESOLVED,True,0.025625
Bahauddin01/language-tutor-ai,66c0c14928e44bf9ec0ebd0473e9432f24396859,200,1,9,2026-04-20T11:00:50.000Z,2026-04-20T11:42:28.000Z,29ad891f0d56922c6d05421353a2fdc63ef7211f,2026-04-20T11:05:01.000Z,2,200,2,1,RESOLVED,True,0.028912037037037038
Belliar666/english-tutor-chatbot,d0c4f2c503f7e0ff3184172c7a183806e3f25350,200,1,20,2025-10-09T19:33:08.000Z,2025-10-11T17:28:58.000Z,61ab119d38e71a0b7e46a7248fab5132e5a726dc,2025-10-09T19:33:08.000Z,1,200,2,1,RESOLVED,True,1.9137731481481481
Bhargavi-31/Ai_tutor,ecb8073259c725c77993caa6d8adb2e2eec17a63,200,1,4,2026-07-06T13:07:12.000Z,2026-07-06T13:12:36.000Z,266ac2e4a0505600578eec6f4b0f3204d9212fe7,2026-07-06T13:07:48.000Z,2,200,2,0,RESOLVED,True,0.00375
Bhuvana908/StudyAssistant,6c1b60fad3fd179de9224b587aaeeff3988764ab,200,1,4,2026-08-02T06:21:56.000Z,2026-08-02T06:34:06.000Z,40c4f1b6669f6786ea80544897ae798e679266e6,2026-08-02T06:24:11.000Z,2,200,3,2,RESOLVED,True,0.008449074074074074
Boyston/reachy_mini_language_tutor,7309d37e73cd4100646e457bc2233da47ef4777e,200,1,411,2025-09-01T12:13:39.000Z,2026-05-11T16:04:39.000Z,3131859670c1b5f8b84f28a8b0bcb20b95efb228,2025-09-01T12:13:39.000Z,1,200,2,0,RESOLVED,True,252.16041666666666
Brisha124/AI_TUTOR,eee4c35842d75e9d88e815a39ed12003fc9a88c9,200,1,7,2026-07-03T09:21:31.000Z,2026-07-03T10:02:32.000Z,575285b190ab3aec8093ba5cec3198c9b224c763,2026-07-03T09:23:33.000Z,2,200,2,1,RESOLVED,True,0.028483796296296295
CT-AITUTOR/AITUTOR,a066775695f3d6d5fa1b2efc6429661b7f3d6436,200,1,7,2024-05-18T01:33:30.000Z,2025-03-18T04:20:58.000Z,da6d0520c7dc2e1f676909ba6653f4019bb75f89,2024-05-18T01:40:13.000Z,2,200,2,1,RESOLVED,True,304.1162962962963
ChandiniSiri/AI_TUTOR,2b2a06e631cfcf09000518bb793019517b2d6f31,200,1,8,2026-07-02T09:40:08.000Z,2026-07-02T09:55:42.000Z,08b7e7335e806ca20f1343c92b9ea5c2900cf74b,2026-07-02T09:40:30.000Z,2,200,2,0,RESOLVED,True,0.010810185185185185
Charan-27-10/AI_TUTOR,e374f7e82076b0fbe0f1a43caf6fd6337f69df9b,200,1,5,2026-07-01T16:10:40.000Z,2026-07-01T16:25:05.000Z,c655c2de1187a635e135737676705d39eac40118,2026-07-01T16:17:32.000Z,2,200,2,1,RESOLVED,True,0.010011574074074074
Chidvilash3/socratic-tutor,dd5aa66a59e47826f135a1dcaa78894cd7470d81,200,1,5,2026-06-28T11:43:13.000Z,2026-06-28T11:50:07.000Z,312b419843ae894f628d4e389abfeee3c84cc835,2026-06-28T11:43:13.000Z,1,200,2,1,RESOLVED,True,0.004791666666666666
CodeDiva42/study-assistant,b564817ecc8a685fe092dc85770935005209017e,200,1,2,2026-07-09T12:36:05.000Z,2026-07-09T12:49:43.000Z,6f8ec3142dfee55284d82fdfeaf4ccab4ce63be5,2026-07-09T12:36:05.000Z,1,200,2,0,RESOLVED,True,0.009467592592592593
Cyfer-ap/AI-Coding-Tutor,1c15bbabaad198bc434fcf05d2d3940a502ff2c8,200,1,2,2025-05-23T10:58:26.000Z,2025-05-23T11:19:04.000Z,1c15bbabaad198bc434fcf05d2d3940a502ff2c8,2025-05-23T11:19:04.000Z,2,200,10,1,RESOLVED,True,0.014328703703703703
DakshSadotra/my-study-assistant,e2e1102977fa92a376d1a566ed495ce6af179c41,200,1,5,2026-04-25T19:20:08.000Z,2026-04-25T19:40:20.000Z,f1d658a4d2acf0f2d6b86960ad4d930a0662d374,2026-04-25T19:27:52.000Z,2,200,2,0,RESOLVED,True,0.014027777777777778
Danny2311/Quiz-Generator,c3594967b10c0c89dbbd3d11b0d18486f9a99008,200,1,16,2026-03-03T15:11:16.000Z,2026-03-03T16:14:24.000Z,35d8bc1588c177e5dd4cc2ca72882b7319e3dcef,2026-03-03T15:16:57.000Z,2,200,2,0,RESOLVED,True,0.04384259259259259
DataRebels/chatbot_language_tutor,60c1642262d20abe69a8c2005d5375fe6c2d2f0c,200,1,22,2024-05-22T03:07:17.000Z,2024-07-07T20:50:17.000Z,ad1c93b15d20dcaab641d543467a872d3f562eed,2024-05-22T03:09:11.000Z,2,200,4,1,RESOLVED,True,46.738194444444446
DataWizard9742/LessonPlanGenerator,23162eb1a7db210f798db2fa5a954057e4a323b3,200,1,4,2023-06-09T05:21:17.000Z,2023-06-09T06:59:44.000Z,37c96ca976d00ed2e5e52d83851fc8dc2505641e,2023-06-09T05:21:40.000Z,2,200,2,0,RESOLVED,True,0.06836805555555556
DeepLearningAI/quiz-generator-v3,b848ebdb7f87b9d08b3a6e323c8fa3b00b615b76,200,1,7,2026-02-23T23:47:30.000Z,2026-03-02T01:08:04.000Z,217abc39de157397a9e05af6578e3c3bda879992,2026-02-23T23:47:30.000Z,1,200,10,2,RESOLVED,True,6.055949074074074
DheerajKausik/RAG_BASED_AI_TEACHING_ASSISTANT,5a8be2657f0b156cdf01ef0103fb17d44739685a,200,1,3,2025-10-10T12:32:02.000Z,2025-10-10T14:06:48.000Z,87d51deb631483a9faaa944158e5d678ae2195a5,2025-10-10T12:32:02.000Z,1,200,2,1,RESOLVED,True,0.06581018518518518
Diid12rt/AITUTOR,4ae29b6cbeab0f35db0a83a13cc9ea81dabfe65e,200,1,7,2025-05-31T02:05:13.000Z,2025-05-31T02:44:00.000Z,aaa521a0e915a459cc5e46bfa5b2a2939f09ef70,2025-05-31T02:05:13.000Z,1,200,3,0,RESOLVED,True,0.02693287037037037
DipakBundheliya/flask_ai_tutor,b9b91cfc31af8bf751d361d624448127892f8df7,200,1,12,2024-06-26T09:19:45.000Z,2024-06-26T11:13:28.000Z,684e77a80ae52a620f58c5f17458e67d5dc444e2,2024-06-26T09:42:15.000Z,2,200,5,2,RESOLVED,True,0.0789699074074074
DoctorHolly/BIO_Tutor_Chatbot,9c19f000e69ef068fff41b86308b9c1b9970e070,200,1,21,2024-12-17T20:27:02.000Z,2025-04-12T17:30:11.000Z,ad6d2ba384ea83a922349e07a94a999674891e5c,2024-12-17T20:28:32.000Z,2,200,2,1,RESOLVED,True,115.8771875
DroolingPanda/teachingAssistant,97938cc5da8630335c522b9ed1ad8497a9044f3a,200,1,160,2025-01-25T22:21:53.000Z,2025-10-06T01:25:09.000Z,cd1309db363a599274b6b2d6f3c05cbe667c8804,2025-01-25T22:40:12.000Z,2,200,7,3,RESOLVED,True,253.12726851851852
Ehtisham-84/Study-Assistant,df1186ba88ed84cc96948cba7d1fe6b40dbc9a6d,200,1,13,2025-11-22T17:05:54.000Z,2025-11-22T17:49:34.000Z,ce30aa809ec2d064f4bb032648b32cafab8e78f1,2025-11-22T17:09:37.000Z,2,200,2,1,RESOLVED,True,0.030324074074074073
Faiz3399/Ai-tutor-assistant,a0b0576248f0a0fdcbad4af0fb2379a6b4786b9a,200,1,4,2025-02-23T15:38:43.000Z,2025-02-24T09:11:24.000Z,77e0b26dc87f401e47fae6088a2856dc82e49082,2025-02-23T15:38:43.000Z,1,200,3,1,RESOLVED,True,0.7310300925925926
Fatma033/Educational-Chatbot,384f0b4b45c915b697de8c45a9b439dc001b478f,200,1,13,2025-10-14T21:35:52.000Z,2025-10-15T11:39:46.000Z,ca6e904e6388d5387ca5a23ea249b647dda970a9,2025-10-14T21:35:52.000Z,1,200,2,1,RESOLVED,True,0.5860416666666667
Felrose/trisem-lesson-plan-generator,5c4b5e7fbb56fee9009752ef29784a3cd18fd184,200,1,75,2026-05-10T04:41:11.000Z,2026-05-22T00:50:28.000Z,2d3d4162a059401d21ec438fb84f6d55c69060df,2026-05-10T04:43:53.000Z,2,200,2,1,RESOLVED,True,11.839780092592592
Felrose/trisem-lesson-plan-generator-ENGLISH-LINK2,5c4b5e7fbb56fee9009752ef29784a3cd18fd184,200,1,75,2026-05-10T04:41:11.000Z,2026-05-22T00:50:28.000Z,2d3d4162a059401d21ec438fb84f6d55c69060df,2026-05-10T04:43:53.000Z,2,200,2,1,RESOLVED,True,11.839780092592592
Gimgaru/finalproject_aitutor,67cd96d0565b05fd053d7d6b04091a17a91bb88d,200,1,17,2026-06-08T12:12:51.000Z,2026-06-08T23:51:37.000Z,c680bf43ebd6be00d8a6a800ab70c74e10a41972,2026-06-08T12:13:42.000Z,2,200,2,1,RESOLVED,True,0.4852546296296296
GoIpKrIsHnA/studyAssistantAI,ca8acf69f5ccb5a836cafe04b1797aca0761d5e4,200,1,2,2026-07-04T05:29:18.000Z,2026-07-04T05:33:18.000Z,ca8acf69f5ccb5a836cafe04b1797aca0761d5e4,2026-07-04T05:33:18.000Z,2,200,3,2,RESOLVED,True,0.002777777777777778
Gungz/quiz-generator-baidu-ernie,1f031479b09f90bce692b494188338db827c92ac,200,1,21,2025-12-23T12:16:42.000Z,2025-12-30T17:52:10.000Z,68a5d757974df016ad4c98f0a96d67d460f29ad5,2025-12-23T12:38:46.000Z,2,200,2,0,RESOLVED,True,7.232962962962963
Hafeezaqsa01/Quiz_generator,af349936cf0251936e19e40d47e1ad62e8fbc167,200,1,4,2026-03-08T17:06:09.000Z,2026-03-10T18:23:27.000Z,b0a147056e2fbdc3d005c998d2b4f5ac55c3a0c3,2026-03-08T17:06:09.000Z,1,200,2,1,RESOLVED,True,2.0536805555555557
Hafsah-Fatima/Programming_Tutor_Chatbot,edb788ec4bcb0db3f54fac085f7fadba5babf7de,200,1,38,2025-12-24T08:14:49.000Z,2025-12-25T15:49:29.000Z,9f88b6b1154a9d7f310802713eebdb1d34c32125,2025-12-24T08:16:35.000Z,2,200,3,1,RESOLVED,True,1.3157407407407407
Hafsah-Fatima/Programming_Tutor_Chatbot_0.2,207f72686ba9d2a2c933b9d1c6618123309cd112,200,1,39,2025-12-24T17:16:29.000Z,2025-12-25T19:05:06.000Z,d50502bbeca570b1e4334a0673bb06329a393105,2025-12-24T17:20:26.000Z,2,200,3,0,RESOLVED,True,1.0754282407407407
Hardik2704/Teaching_Assistant,f90b8f7d97ff37ed1cc73c27f4a8791f7b299efb,200,1,11,2024-12-13T10:34:39.000Z,2024-12-18T05:34:25.000Z,6d32081ca2e77679ad07b938b689eca12f1d4c5c,2024-12-13T10:35:00.000Z,2,200,2,1,RESOLVED,True,4.79150462962963
Hareesh221/30-day-course-generator,88efe1046aaf1f96a2d4d0c714146b0f5c462235,200,1,3,2025-12-04T07:57:08.000Z,2025-12-04T07:59:52.000Z,68ffc072eb27032da97c2726a0829d76024098b7,2025-12-04T07:58:50.000Z,2,200,2,1,RESOLVED,True,0.0018981481481481482
Harika06/AI_TUTOR,823c5b21406fd72637027af536a417009ca1e5be,200,1,5,2026-07-03T09:33:37.000Z,2026-07-03T09:40:10.000Z,655678be1e79d27fb615727bdd7f535d59bd3a1d,2026-07-03T09:35:20.000Z,2,200,2,0,RESOLVED,True,0.004548611111111111
Hariprasaadh/QuizGenerator,e750d1e615b476d44e831d5f6a4a82d0a0a7f635,200,1,3,2024-12-23T08:44:03.000Z,2024-12-23T08:47:20.000Z,e291fcf23e9c01d5c928f4a89ce3d946f3fcbfe2,2024-12-23T08:46:32.000Z,2,200,2,0,RESOLVED,True,0.0022800925925925927
HarryPotter1o1/Study_Assistant,2cf2159b1329e3255b180643ca46efe616b30dab,200,1,7,2025-07-30T11:45:41.000Z,2025-07-30T12:02:25.000Z,86f8c7089c4aeb37a123efa55c62413f794cb583,2025-07-30T11:46:11.000Z,2,200,2,1,RESOLVED,True,0.011620370370370371
Harsha855/StudyAssistant,6ec458afc73eb435f19eaa917d38bc580851bba9,200,1,4,2026-02-27T06:13:49.000Z,2026-02-27T06:38:35.000Z,713ac79b4ba77ac82c5ca1cc2621892049774290,2026-02-27T06:21:41.000Z,2,200,3,2,RESOLVED,True,0.017199074074074075
HemanthRaj/Socratic-AI-Tutor-Model,ede565a4ab8b516e632478b15149b15a48e358ff,200,1,7,2025-06-30T13:39:16.000Z,2025-06-30T15:44:19.000Z,b56053e296e08d1ac0347c67447a67572af21491,2025-06-30T13:48:17.000Z,2,200,9,2,RESOLVED,True,0.08684027777777778
HemanthRaj/socratic-tutor-embedder,ec97095f48cd2615023deea19c656cb3388c7e52,200,1,6,2025-07-13T16:59:10.000Z,2025-07-13T17:35:11.000Z,feff02f80cca13167a9bd3d3cee4629920f3cbff,2025-07-13T17:00:57.000Z,2,200,3,1,RESOLVED,True,0.025011574074074075
HumeraAI/lesson-plan-generator,59af7945c040d7e957c675056ebb4c9f4fada196,200,1,3,2026-05-04T05:50:29.000Z,2026-05-04T05:52:55.000Z,6fa73dc42ff779b8fb52f0aebf5d2f6cb1a6a626,2026-05-04T05:51:59.000Z,2,200,2,1,RESOLVED,True,0.0016898148148148148
HumeraAI/quiz-generator-from-PDF,c6454e934d2535a0f3780f60b43b1b28109ce534,200,1,19,2026-04-16T06:29:43.000Z,2026-04-20T02:56:49.000Z,ef6a78b224836b127d98a18b37607e783c944a63,2026-04-16T06:30:40.000Z,2,200,2,1,RESOLVED,True,3.852152777777778
Imsachinsingh00/education_chatbot,6d313cf846c20f95388fc26584881f4ce4169b08,200,1,17,2025-05-21T11:44:50.000Z,2025-05-21T17:35:53.000Z,6ddeb4ac76f07232f02bca31ca69e9c13994a856,2025-05-21T11:44:50.000Z,1,200,2,0,RESOLVED,True,0.24378472222222222
JPPD/Tutor-fisica-abp-chatbot,afeaf267a7b43e43aee4a902cb2ea3bab85ea07a,200,1,31,2025-04-16T04:32:06.000Z,2025-04-16T06:40:53.000Z,a9681127e76cf18d95d7799d962ab9351dded4e4,2025-04-16T04:51:11.000Z,4,200,2,1,RESOLVED,True,0.08943287037037037
Jainish210705/Quiz_Generator,993e2f705fd3995bbf1eb5276f4871dce62f6755,200,1,17,2025-09-21T08:33:31.000Z,2025-09-27T12:12:13.000Z,1aee94d411ac2bcb6a8e51ea4cacbf4127e3a011,2025-09-21T08:34:47.000Z,2,200,3,1,RESOLVED,True,6.151875
Janakimeena/RAG-Base-Educational-Chatbot,fefb0d34d412eb28e13e76f96e7c74ca963a3ffa,200,1,5,2026-05-12T09:19:32.000Z,2026-05-12T09:48:59.000Z,eca8311c023206ed3d02c6ccc2af16918ed64a04,2026-05-12T09:33:03.000Z,2,200,6,3,RESOLVED,True,0.02045138888888889
